timestamp,Current,Temperature,Voltage,CurrentTXPower,CurrentRXPower,CurrentMultiTXPower1,CurrentMultiTXPower2,CurrentMultiTXPower3,CurrentMultiTXPower4,CurrentMultiRXPower1,CurrentMultiRXPower2,CurrentMultiRXPower3,CurrentMultiRXPower4,CurrentMultiBias1,CurrentMultiBias2,CurrentMultiBias3,CurrentMultiBias4,subhealth_label,failure_type
2025-05-05 16:35:14.419676,12.08,47.54,3.13,-0.58,0.85,-0.67,2.78,-1.1,3.75,-3.55,0.65,-3.77,-4.12,11.54,7.31,6.55,12.64,0,0
2025-05-05 16:36:14.419676,12.56,42.57,3.37,-0.35,-4.69,2.35,1.47,-1.95,-0.46,-4.76,0.12,-0.4,-0.64,5.77,7.91,5.46,5.83,0,0
2025-05-05 16:37:14.419676,17.05,34.76,3.39,0.22,-2.06,-1.4,-0.36,3.51,0.77,-3.6,-0.28,-0.32,-1.54,13.65,9.56,8.75,7.29,0,0
2025-05-05 16:38:14.419676,13.73,51.3,3.57,1.31,-3.73,-0.53,2.43,3.51,3.36,-2.71,0.96,-0.53,-3.82,12.97,12.46,11.45,6.82,0,0
2025-05-05 16:39:14.419676,12.87,56.06,3.3,0.44,-4.58,-1.54,0.17,1.16,0.98,-1.22,0.42,0.46,-0.57,5.39,8.06,7.5,6.75,0,0
2025-05-05 16:40:14.419676,17.96,32.6,3.22,1.2,-2.73,-1.84,3.76,0.81,1.7,0.66,-0.05,-3.08,-1.22,10.62,7.48,10.98,13.44,0,0
2025-05-05 16:41:14.419676,19.04,67.81,3.39,3.64,-4.43,-1.84,3.99,-0.78,0.06,-1.67,-3.15,-1.65,-1.09,5.29,6.68,14.8,9.75,0,0
2025-05-05 16:42:14.419676,11.81,30.33,3.02,0.59,-1.2,2.38,-1.67,-1.18,2.07,-0.82,-3.04,-0.08,-4.78,14.87,5.39,10.6,6.59,0,0
2025-05-05 16:43:14.419676,14.05,63.35,3.06,2.44,-2.91,0.24,-1.63,2.3,-1.28,-1.78,-1.66,-2.02,0.41,12.36,5.28,6.99,5.72,0,0
2025-05-05 16:44:14.419676,15.01,35.53,3.08,0.15,-3.77,1.64,1.05,-2.0,-0.44,0.16,-0.98,-4.18,-4.11,14.37,10.74,13.4,11.76,0,0
2025-05-05 16:45:14.419676,12.54,56.5,3.58,2.77,-0.76,2.44,1.47,-0.07,-1.1,-2.12,0.21,-0.65,-1.79,7.2,12.57,7.92,5.75,0,0
2025-05-05 16:46:14.419676,14.11,59.54,3.12,0.03,-3.98,-0.2,-0.19,3.7,3.26,0.95,-3.85,-2.94,0.52,11.57,12.06,13.96,9.95,0,0
2025-05-05 16:47:14.419676,13.5,34.08,3.1,2.94,-3.17,1.71,-0.59,1.73,3.02,-4.46,0.89,-1.78,0.45,5.74,12.46,13.44,7.81,0,0
2025-05-05 16:48:14.419676,18.75,44.44,3.41,-0.85,-3.55,0.78,3.62,3.49,3.28,-0.93,-4.25,0.57,-2.19,6.35,10.6,14.07,6.64,0,0
2025-05-05 16:49:14.419676,11.18,68.31,3.46,1.17,-2.33,1.19,-0.05,2.11,2.6,-1.98,0.4,-3.48,-1.29,13.57,7.99,13.57,6.3,0,0
2025-05-05 16:50:14.419676,15.62,63.8,3.13,-1.17,-2.84,0.55,2.36,0.77,-1.32,-3.65,-2.1,-4.17,-4.54,13.26,7.27,8.76,14.92,0,0
2025-05-05 16:51:14.419676,10.65,35.21,3.55,2.06,0.23,-1.72,0.59,-0.84,2.63,-3.36,0.93,0.58,-1.31,12.02,12.46,6.4,14.8,0,0
2025-05-05 16:52:14.419676,13.68,53.5,3.5,2.27,-2.27,-0.79,-1.64,1.67,1.37,-1.4,-2.03,-0.64,-1.24,7.28,11.84,7.99,11.14,0,0
2025-05-05 16:53:14.419676,16.08,62.37,3.48,0.87,-1.76,1.1,1.12,2.2,2.4,-1.92,-0.78,-3.97,-4.44,9.03,12.56,12.96,8.03,0,0
2025-05-05 16:54:14.419676,15.33,45.93,3.2,2.7,-4.84,0.13,2.09,0.98,-0.27,-3.14,0.74,-0.1,-2.09,5.98,11.01,11.58,13.06,0,0
2025-05-05 16:55:14.419676,12.43,32.79,3.23,3.38,-4.53,-0.05,-0.81,2.04,-0.44,-0.57,-2.11,-1.77,-1.54,9.5,6.33,12.3,14.72,0,0
2025-05-05 16:56:14.419676,10.93,62.97,3.31,-1.8,-1.04,0.33,1.42,-1.87,-1.24,-1.54,-3.33,-0.46,-3.81,14.38,7.61,8.01,6.85,0,0
