timestamp,Current,Temperature,Voltage,CurrentTXPower,CurrentRXPower,CurrentMultiTXPower1,CurrentMultiTXPower2,CurrentMultiTXPower3,CurrentMultiTXPower4,CurrentMultiRXPower1,CurrentMultiRXPower2,CurrentMultiRXPower3,CurrentMultiRXPower4,CurrentMultiBias1,CurrentMultiBias2,CurrentMultiBias3,CurrentMultiBias4,subhealth_label,failure_type
2025-05-05 16:14:35.687148,16.73,32.23,3.2,-1.95,-2.29,3.57,0.79,-1.71,3.19,-1.56,-0.78,-0.75,0.35,9.8,7.05,9.93,10.24,0,0
2025-05-05 16:15:35.687148,14.45,40.22,3.43,-1.37,-0.07,0.81,1.02,2.18,1.88,-0.1,0.85,-1.84,-4.42,11.39,9.76,7.44,5.67,0,0
2025-05-05 16:16:35.687148,10.38,44.88,3.53,3.41,-3.06,1.88,-0.07,-1.69,-1.91,-3.42,-2.27,0.03,-1.7,13.46,9.39,13.07,13.02,0,0
2025-05-05 16:17:35.687148,17.48,38.06,3.42,0.41,-2.68,1.64,-1.32,-0.34,2.75,-1.4,0.99,-4.1,-0.14,8.52,5.0,13.81,13.31,0,0
2025-05-05 16:18:35.687148,17.85,40.62,3.32,-1.95,0.14,1.95,1.15,-1.83,1.58,0.71,0.43,-2.38,0.85,10.9,11.97,9.09,13.5,0,0
2025-05-05 16:19:35.687148,15.39,54.74,3.54,3.25,-4.98,0.46,-1.72,3.37,-0.01,-3.48,0.78,-0.76,-0.14,14.9,8.9,10.77,11.92,0,0
2025-05-05 16:20:35.687148,12.75,57.93,3.57,3.6,-0.56,-1.13,-1.14,1.8,1.4,-1.08,-1.02,-3.17,0.08,7.69,7.43,8.33,8.18,0,0
2025-05-05 16:21:35.687148,15.12,34.84,3.21,0.96,-2.92,-0.44,2.3,1.89,0.81,-0.06,0.74,-4.49,-3.13,7.23,12.99,12.96,7.84,0,0
2025-05-05 16:22:35.687148,19.72,35.64,3.29,0.05,-4.6,2.61,3.66,0.78,3.56,-2.74,-1.08,0.94,0.77,9.35,13.0,11.21,7.33,0,0
2025-05-05 16:23:35.687148,18.57,46.78,3.27,2.88,-2.72,-0.36,0.82,0.61,1.68,-2.7,-3.92,-2.51,-0.51,5.61,10.57,12.06,5.61,0,0
2025-05-05 16:24:35.687148,12.86,69.92,3.16,-0.26,-1.02,-1.78,1.18,1.95,0.98,-3.81,-3.01,-2.94,0.08,10.27,12.48,12.17,6.94,0,0
2025-05-05 16:25:35.687148,17.14,67.49,3.14,3.57,-3.3,1.49,0.8,-1.94,2.63,-0.57,-3.49,-3.74,-1.37,8.73,9.9,14.42,5.73,0,0
2025-05-05 16:26:35.687148,18.23,40.51,3.51,0.76,-4.53,3.48,3.87,-1.35,1.94,-1.3,-3.74,-2.04,-4.07,10.5,14.99,9.91,7.48,0,0
2025-05-05 16:27:35.687148,15.1,46.41,3.58,2.12,-3.53,0.54,-1.99,-0.15,0.04,-1.04,-0.14,-3.09,-1.97,13.38,12.7,14.05,12.86,0,0
2025-05-05 16:28:35.687148,10.84,44.61,3.18,0.35,0.89,3.06,3.57,1.2,1.92,-0.89,-2.49,-4.73,-3.39,5.93,11.37,11.52,13.29,0,0
2025-05-05 16:29:35.687148,19.88,68.34,3.05,2.49,-3.26,-0.33,-0.34,3.62,1.14,-0.9,0.98,-2.9,-1.7,11.28,14.47,6.73,8.98,0,0
2025-05-05 16:30:35.687148,16.08,62.12,3.55,0.33,-3.44,3.29,-0.15,0.33,-0.84,0.08,-4.45,-4.48,-4.65,13.46,7.12,12.36,7.35,0,0
2025-05-05 16:31:35.687148,12.34,65.64,3.33,-1.5,-3.19,0.1,-1.15,0.79,1.97,-3.45,-2.82,-0.08,0.38,14.44,11.47,14.5,14.46,0,0
