timestamp,Current,Temperature,Voltage,CurrentTXPower,CurrentRXPower,CurrentMultiTXPower1,CurrentMultiTXPower2,CurrentMultiTXPower3,CurrentMultiTXPower4,CurrentMultiRXPower1,CurrentMultiRXPower2,CurrentMultiRXPower3,CurrentMultiRXPower4,CurrentMultiBias1,CurrentMultiBias2,CurrentMultiBias3,CurrentMultiBias4,subhealth_label,failure_type
2025-05-05 16:15:01.960928,16.52,60.29,3.27,2.11,-3.82,3.67,2.96,3.94,3.06,0.14,0.79,-4.98,-2.17,10.06,6.02,12.95,9.57,0,0
2025-05-05 16:16:01.960928,10.91,50.15,3.14,0.22,-2.57,2.16,2.86,-1.3,2.01,-0.62,-3.46,-3.67,-1.41,14.58,14.33,14.63,11.01,0,0
2025-05-05 16:17:01.960928,13.76,45.21,3.44,3.08,0.12,0.91,2.36,0.07,2.41,0.87,-2.6,-1.95,-5.0,7.23,12.62,6.98,14.62,0,0
2025-05-05 16:18:01.960928,10.07,68.14,3.25,1.44,-2.04,3.88,2.22,3.78,0.64,-4.77,-1.94,-1.23,0.25,12.71,6.57,11.07,14.24,0,0
2025-05-05 16:19:01.960928,12.92,43.45,3.26,-1.38,-2.89,2.14,-1.47,0.02,-0.54,-1.11,0.85,0.67,-2.76,14.42,8.57,5.37,7.31,0,0
2025-05-05 16:20:01.960928,10.59,52.46,3.1,-1.17,-3.17,2.23,3.07,2.56,-1.06,-4.41,-2.77,-1.84,-2.18,13.62,10.89,10.5,7.88,0,0
2025-05-05 16:21:01.960928,19.55,66.33,3.41,0.4,0.29,-0.82,3.86,3.99,1.07,-1.84,-3.81,-1.15,0.64,10.03,5.87,7.64,7.74,0,0
2025-05-05 16:22:01.960928,17.28,46.5,3.37,-0.29,0.36,0.44,-0.06,-1.67,-1.14,0.99,-2.43,-0.31,-3.3,5.62,8.35,5.93,10.7,0,0
2025-05-05 16:23:01.960928,11.94,66.66,3.55,0.39,-2.24,3.74,3.05,-0.61,0.55,-4.25,0.0,-0.44,-0.05,9.76,14.81,11.51,8.33,0,0
2025-05-05 16:24:01.960928,13.15,46.36,3.59,-0.61,-2.03,2.82,3.01,3.66,-0.21,0.34,-2.61,-1.62,-3.79,9.72,14.2,13.97,9.6,0,0
