timestamp,Current,Temperature,Voltage,CurrentTXPower,CurrentRXPower,CurrentMultiTXPower1,CurrentMultiTXPower2,CurrentMultiTXPower3,CurrentMultiTXPower4,CurrentMultiRXPower1,CurrentMultiRXPower2,CurrentMultiRXPower3,CurrentMultiRXPower4,CurrentMultiBias1,CurrentMultiBias2,CurrentMultiBias3,CurrentMultiBias4,subhealth_label,failure_type
2025-05-05 16:05:43.440560,19.54,50.04,3.56,0.97,-3.68,3.5,-1.71,0.18,1.95,-3.65,-0.48,-4.76,-4.39,6.94,10.94,8.24,6.14,0,0
2025-05-05 16:06:43.440560,16.65,53.02,3.25,3.34,-1.38,-1.56,1.9,-0.17,-0.16,-3.27,-2.03,-4.83,-3.08,8.57,14.94,6.23,9.19,0,0
2025-05-05 16:07:43.440560,17.7,40.77,3.38,0.8,-1.97,3.99,-1.13,0.47,3.08,-0.86,-0.72,0.01,-1.65,11.24,8.58,9.04,9.29,0,0
2025-05-05 16:08:43.440560,12.85,46.12,3.37,1.0,0.72,1.81,-0.67,0.34,1.42,-0.62,-3.82,-1.85,-1.34,9.16,11.27,9.77,14.21,0,0
2025-05-05 16:09:43.440560,17.33,51.91,3.42,0.23,-2.68,0.83,3.46,3.33,1.75,-3.11,-4.93,-1.26,0.28,10.35,12.51,9.58,12.35,0,0
2025-05-05 16:10:43.440560,18.38,41.07,3.4,2.91,0.81,-1.51,-0.42,-1.39,2.93,0.92,-1.4,-3.0,-1.66,8.8,5.21,13.5,13.16,0,0
2025-05-05 16:11:43.440560,14.63,49.64,3.33,0.31,0.52,1.68,-0.52,2.1,-0.29,-0.17,-2.8,0.28,-2.7,13.91,8.55,5.45,11.79,0,0
2025-05-05 16:12:43.440560,17.55,51.89,3.13,1.22,-4.11,2.91,-1.75,0.09,-0.71,-3.03,-2.39,-4.86,-3.44,11.91,5.09,12.6,11.11,0,0
2025-05-05 16:13:43.440560,17.35,42.31,3.24,0.29,-4.96,-0.91,0.39,3.16,-1.23,-3.96,-3.02,-2.15,0.88,8.82,8.82,12.12,13.11,0,0
2025-05-05 16:14:43.440560,14.24,31.03,3.2,1.62,-1.15,2.03,2.39,3.35,1.18,-2.55,-0.04,-3.27,-3.22,13.57,6.48,12.72,8.53,0,0
2025-05-05 16:15:43.440560,11.75,38.99,3.4,3.66,-3.01,3.57,-1.09,-1.53,-0.31,-3.77,-1.61,0.42,-3.05,11.34,14.91,14.41,10.12,0,0
2025-05-05 16:16:43.440560,11.26,38.1,3.14,0.64,-0.37,0.34,0.67,-0.88,3.48,-0.76,-0.54,-4.94,0.58,6.13,5.21,8.1,5.96,0,0
2025-05-05 16:17:43.440560,18.8,53.94,3.53,0.81,-4.29,3.95,2.33,-1.91,0.8,-1.47,-0.19,-0.71,-3.72,12.35,9.76,11.7,10.78,0,0
2025-05-05 16:18:43.440560,19.79,35.6,3.11,-1.05,-4.19,1.72,0.91,1.11,1.52,-0.48,-2.2,-3.81,-3.05,9.33,8.72,7.21,5.15,0,0
2025-05-05 16:19:43.440560,17.1,38.13,3.32,0.63,-4.53,0.61,2.54,-1.98,0.75,-0.35,0.14,-3.32,-0.5,14.75,12.24,6.98,8.8,0,0
2025-05-05 16:20:43.440560,19.58,51.9,3.2,-0.52,-2.06,1.38,-0.54,0.61,-0.76,-1.66,-1.66,-4.53,-0.81,7.35,13.16,10.04,14.83,0,0
2025-05-05 16:21:43.440560,11.34,36.11,3.58,2.81,-3.85,-1.9,3.75,-0.29,-1.82,-2.02,-4.84,-4.88,-4.47,13.93,5.4,7.77,13.09,0,0
2025-05-05 16:22:43.440560,18.77,51.88,3.55,3.43,0.98,3.99,2.23,0.15,0.3,-4.34,-2.03,-2.21,-3.59,10.56,5.77,9.62,13.96,0,0
2025-05-05 16:23:43.440560,15.34,65.92,3.5,-0.72,-1.34,1.43,-0.91,2.54,2.82,-4.44,-2.73,-2.41,-0.93,11.9,13.28,14.91,12.49,0,0
2025-05-05 16:24:43.440560,14.79,42.09,3.56,-0.51,-4.42,2.59,2.13,-0.59,-1.06,0.69,-3.86,0.8,-4.39,10.07,9.04,14.45,10.09,0,0
2025-05-05 16:25:43.440560,18.4,30.98,3.28,-1.53,-0.2,-0.88,0.08,1.32,1.77,-0.21,-4.57,-3.81,-4.25,5.16,6.98,12.21,11.36,0,0
2025-05-05 16:26:43.440560,16.71,67.5,3.34,-1.76,-4.2,1.1,-1.69,1.72,-1.84,0.63,-3.76,-3.84,0.08,9.24,13.61,10.84,8.42,0,0
2025-05-05 16:27:43.440560,19.43,61.93,3.53,-0.6,-3.76,1.23,1.39,0.2,2.22,-1.56,-1.65,-0.93,0.0,13.54,12.17,6.41,5.97,0,0
2025-05-05 16:28:43.440560,17.64,39.55,3.08,2.77,-3.97,0.47,2.38,-1.08,2.41,-0.14,-0.51,0.66,-3.21,14.16,14.8,12.81,6.09,0,0
2025-05-05 16:29:43.440560,12.47,65.22,3.02,-1.92,-4.98,0.13,-1.56,0.22,3.7,-1.93,-1.57,0.6,-4.46,10.2,7.08,13.18,14.35,0,0
2025-05-05 16:30:43.440560,11.67,33.73,3.28,-0.89,-4.56,3.53,-1.07,2.67,1.94,0.78,-4.01,-2.19,-0.77,9.14,14.98,14.02,8.71,0,0
2025-05-05 16:31:43.440560,13.89,58.13,3.36,-1.75,-4.92,-0.54,1.68,0.63,-1.48,-2.47,-4.64,-4.03,-0.49,9.69,5.64,12.28,7.71,0,0
2025-05-05 16:32:43.440560,14.52,40.17,3.43,1.36,0.42,1.42,0.26,1.76,3.99,-3.91,-4.02,-1.4,0.02,6.08,6.39,5.59,11.76,0,0
2025-05-05 16:33:43.440560,15.48,67.8,3.12,2.1,-3.82,3.9,1.43,3.16,3.91,-2.46,-2.41,0.62,-3.93,8.35,14.56,7.04,8.9,0,0
2025-05-05 16:34:43.440560,16.51,62.11,3.37,1.79,-3.55,-1.48,-1.41,1.16,2.57,-1.2,-4.45,-0.33,-0.37,10.65,13.89,12.55,8.05,0,0
2025-05-05 16:35:43.440560,10.48,33.0,3.09,1.81,-0.6,0.58,-1.64,1.58,0.54,-0.92,-3.86,-1.14,0.91,5.77,7.4,9.09,11.22,0,0
2025-05-05 16:36:43.440560,17.3,43.25,3.3,2.54,-1.33,0.65,-0.79,0.47,2.95,-2.7,-0.76,-1.48,-3.06,13.73,6.5,11.15,9.95,0,0
2025-05-05 16:37:43.440560,16.55,36.24,3.23,-1.52,0.99,-0.94,0.45,3.78,0.55,-0.82,-2.69,-2.45,-4.3,7.07,7.02,13.71,12.47,0,0
