timestamp,Current,Temperature,Voltage,CurrentTXPower,CurrentRXPower,CurrentMultiTXPower1,CurrentMultiTXPower2,CurrentMultiTXPower3,CurrentMultiTXPower4,CurrentMultiRXPower1,CurrentMultiRXPower2,CurrentMultiRXPower3,CurrentMultiRXPower4,CurrentMultiBias1,CurrentMultiBias2,CurrentMultiBias3,CurrentMultiBias4,subhealth_label,failure_type
2025-05-05 16:14:26.937763,14.12,57.77,3.42,0.85,-0.12,-0.36,0.56,-0.98,2.41,0.66,-0.61,-1.15,-2.72,7.32,11.26,5.43,13.38,0,0
2025-05-05 16:15:26.937763,11.36,32.96,3.5,3.18,-4.34,2.22,3.87,1.22,2.13,-0.12,0.46,-0.36,-3.56,12.09,6.56,11.94,5.33,0,0
2025-05-05 16:16:26.937763,18.46,48.28,3.38,-1.77,-1.92,1.28,-1.0,0.52,0.11,-3.92,-0.98,-0.22,-0.83,12.48,6.33,8.75,14.61,0,0
2025-05-05 16:17:26.937763,19.38,61.67,3.32,3.11,-3.86,1.13,-1.04,1.83,-0.62,-2.63,-4.83,-4.98,-2.53,11.3,12.85,9.65,13.36,0,0
2025-05-05 16:18:26.937763,14.74,57.58,3.57,2.35,-3.92,3.28,2.7,2.58,-1.26,-2.38,-3.39,-3.92,-1.53,5.6,7.8,14.94,8.1,0,0
2025-05-05 16:19:26.937763,14.55,44.4,3.52,2.93,-4.86,-1.9,1.75,3.02,-1.61,-1.94,-3.82,-3.29,-0.27,14.38,8.5,6.86,11.42,0,0
2025-05-05 16:20:26.937763,11.77,58.24,3.46,2.96,0.74,-1.0,3.4,2.88,-1.63,-1.2,-3.51,-4.94,-1.4,5.35,11.91,10.39,11.3,0,0
2025-05-05 16:21:26.937763,16.65,67.94,3.1,-1.7,-1.58,0.67,1.38,2.77,-0.14,-3.34,-0.04,-2.5,-2.29,12.3,12.06,14.74,12.47,0,0
2025-05-05 16:22:26.937763,18.43,37.17,3.17,-1.92,-0.36,3.28,0.85,3.91,1.64,-2.76,-1.14,0.01,0.03,7.59,11.41,14.52,5.05,0,0
2025-05-05 16:23:26.937763,13.82,39.91,3.02,3.9,0.53,-1.55,-0.95,-0.63,0.36,-4.74,-3.52,-0.38,0.82,11.33,13.81,10.85,6.81,0,0
2025-05-05 16:24:26.937763,19.85,50.88,3.08,3.75,-0.85,2.02,-1.11,-0.04,0.52,-0.31,0.31,-0.72,-2.91,9.48,6.07,6.25,12.55,0,0
2025-05-05 16:25:26.937763,17.13,31.88,3.39,-1.39,-4.19,0.87,-0.19,-1.49,-1.06,-4.94,-1.91,-4.38,-1.57,10.54,8.52,12.8,11.38,0,0
2025-05-05 16:26:26.937763,13.4,49.99,3.43,1.58,-3.68,-1.56,1.51,-1.13,1.47,-0.4,-4.01,-1.37,-1.64,11.6,6.65,14.99,14.42,0,0
2025-05-05 16:27:26.937763,10.98,52.56,3.38,2.03,-2.89,3.72,-0.07,0.65,1.23,-4.62,-1.23,0.72,-0.98,14.93,6.33,12.29,9.4,0,0
2025-05-05 16:28:26.937763,13.23,61.3,3.24,0.27,0.67,-0.24,2.78,1.11,1.75,-3.15,-0.9,-3.72,-1.7,7.65,5.31,13.02,10.08,0,0
2025-05-05 16:29:26.937763,12.39,41.01,3.04,0.42,-0.05,2.45,3.06,3.17,1.98,-0.27,-2.98,-1.96,-4.04,9.24,7.41,12.12,14.16,0,0
2025-05-05 16:30:26.937763,14.29,37.31,3.37,-0.16,-0.63,2.27,0.53,2.66,-0.05,0.51,-0.35,-0.91,-0.28,6.23,10.87,12.58,5.11,0,0
2025-05-05 16:31:26.937763,15.61,48.38,3.23,-0.41,0.45,-1.08,-1.45,-0.74,2.45,-1.44,-2.44,0.06,-2.08,10.43,13.68,12.43,13.51,0,0
2025-05-05 16:32:26.937763,18.17,37.77,3.16,-1.01,-0.36,3.0,2.28,3.33,0.47,0.21,-4.46,-1.85,-0.06,13.63,11.29,9.3,11.25,0,0
2025-05-05 16:33:26.937763,19.53,64.44,3.26,3.34,-0.44,0.83,-1.08,2.38,-1.54,-1.93,0.49,-0.85,-3.72,5.38,5.21,11.46,12.69,0,0
2025-05-05 16:34:26.937763,10.32,67.96,3.03,0.25,-0.97,-1.2,0.78,0.13,-0.32,0.15,-2.04,0.19,-2.63,13.23,5.02,11.36,10.7,0,0
2025-05-05 16:35:26.937763,12.1,61.72,3.21,1.19,0.87,-0.14,2.83,-0.73,3.86,-3.59,-4.81,-3.18,-2.09,6.12,7.78,14.67,9.11,0,0
2025-05-05 16:36:26.937763,15.07,56.3,3.09,-0.06,-0.65,-1.51,1.62,3.79,-0.79,-0.86,-1.08,-4.53,-3.84,12.52,7.23,6.51,8.75,0,0
2025-05-05 16:37:26.937763,13.11,50.62,3.14,-1.73,-3.98,1.54,2.29,-0.69,0.09,-4.92,-4.35,-2.13,-3.41,8.02,5.96,10.73,7.61,0,0
2025-05-05 16:38:26.937763,19.22,55.03,3.21,2.84,-0.31,1.49,1.28,2.81,0.4,-3.09,0.63,-1.45,-4.05,7.69,12.02,8.38,8.97,0,0
2025-05-05 16:39:26.937763,16.06,69.28,3.55,2.91,-3.78,3.74,2.14,2.4,1.82,-4.41,-4.24,-1.26,-3.25,14.28,12.23,9.97,14.02,0,0
2025-05-05 16:40:26.937763,10.3,52.49,3.39,3.65,-2.21,3.45,-1.69,-0.81,-0.32,-2.93,-2.11,-4.86,-3.03,12.8,13.89,8.79,12.51,0,0
2025-05-05 16:41:26.937763,18.32,67.55,3.08,-1.78,0.31,-1.0,0.19,0.24,-1.84,-3.81,-2.83,-1.79,-0.36,14.38,6.11,12.61,7.73,0,0
2025-05-05 16:42:26.937763,15.46,40.09,3.35,1.29,-2.17,0.51,-1.1,0.03,-0.06,0.41,-1.91,-3.85,-0.82,11.77,12.14,9.56,13.41,0,0
